Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
theWayInsideOneBuilding,,,2019-11-28 20:54:23,2019-11-28 20:55:37,1m - 14.599s,PASSED
,,,,,,
Test Cases/theWayFromOneRoomToAnotherNewBuilding,,,2019-11-28 20:54:24,2019-11-28 20:55:27,1m - 3.223s,PASSED
"startApplication(""C:\Users\apershina\Desktop\Projects\Floors\FloorsApp\app\build\outputs\apk\debug\app-debug.apk"", false)",,,2019-11-28 20:54:25,2019-11-28 20:55:01,36.506s,PASSED
"tap(findTestObject(""testcases/android.widget.EditText0 - ""), 0)",,,2019-11-28 20:55:01,2019-11-28 20:55:08,6.972s,PASSED
random = new java.util.Random(),,,2019-11-28 20:55:08,2019-11-28 20:55:08,0.010s,PASSED
"setText(findTestObject(""testcases/android.widget.EditText0 -  (1)""), findTestData(""nsuAssetsExcel"").getValue(1, random.nextInt(390) + 1), 0)",,,2019-11-28 20:55:08,2019-11-28 20:55:13,4.536s,PASSED
"tap(findTestObject(""testcases/android.widget.LinearLayout5""), 0)",,,2019-11-28 20:55:13,2019-11-28 20:55:15,2.441s,PASSED
"tap(findTestObject(""testcases/android.widget.Button0 - ""), 0)",,,2019-11-28 20:55:15,2019-11-28 20:55:18,2.939s,PASSED
"tap(findTestObject(""testcases/TextInputLayout0 -  ""), 0)",,,2019-11-28 20:55:18,2019-11-28 20:55:20,1.821s,PASSED
"setText(findTestObject(""testcases/android.widget.EditText1""), findTestData(""nsuAssetsExcel"").getValue(1, random.nextInt(390) + 1), 0)",,,2019-11-28 20:55:20,2019-11-28 20:55:22,1.854s,PASSED
"tap(findTestObject(""testcases/android.widget.FrameLayout9""), 0)",,,2019-11-28 20:55:22,2019-11-28 20:55:25,3.196s,PASSED
"tap(findTestObject(""testcases/android.widget.ImageButton8""), 0)",,,2019-11-28 20:55:25,2019-11-28 20:55:27,1.765s,PASSED
,,,,,,
Test Cases/theButtonNewBuildingInLeftPanel,,,2019-11-28 20:55:27,2019-11-28 20:55:37,10.736s,PASSED
"tap(findTestObject(""testcases/android.widget.ImageView0""), 0)",,,2019-11-28 20:55:27,2019-11-28 20:55:29,1.591s,PASSED
"tap(findTestObject(""testcases/android.support.v7.widget.LinearLayoutCompat0""), 0)",,,2019-11-28 20:55:29,2019-11-28 20:55:30,1.635s,PASSED
"tap(findTestObject(""android.widget.EditText0 - ""), 0)",,,2019-11-28 20:55:30,2019-11-28 20:55:32,1.926s,PASSED
random = new java.util.Random(),,,2019-11-28 20:55:32,2019-11-28 20:55:32,0.003s,PASSED
"setText(findTestObject(""android.widget.EditText0 -  (1)""), findTestData(""nsuAssetsExcel"").getValue(1, random.nextInt(390) + 1), 0)",,,2019-11-28 20:55:32,2019-11-28 20:55:35,2.806s,PASSED
"tap(findTestObject(""android.widget.LinearLayout5""), 0)",,,2019-11-28 20:55:35,2019-11-28 20:55:37,2.369s,PASSED
